localizacion,titulo,descripcion_corta,precio,detalles
Nuevo Cuscatlán, CASA EN VENTA EN NUEVO CUSCATLÁN,"LA FLORIDA NUEVO CUSCATLÁN
850 VARAS 280 METROS
COCHERA PARA 2 VEHÍCULOS BAJO TECHO MÁS 2 SIN TECHAR
VESTIBULO
ESTUDIO BAÑO SOCIAL COMPLETO
SALA - COMEDOR
TERRAZA ...","
$460,000 ","
,
280 m,
,
3,
,
2,
,
2"
San Salvador," Venta de casa de 2 niveles Residencial La Cima 4, San Salvador en privado","Venta de casa de 2 niveles Res. La Cima 4, San Salvador
Zona de gran plusvalia, privado , varias vias de acceso a Santa Elena, Antiguo Cuscatlan, Lomas de San Francisco, Carretera al ...","
$118,000 ","
,
1 m,
,
3,
,
1,
,
2"
San Salvador, CONDOMINIO 71 APARTAMENTOS AMUEBLADO,"APARTAMENTO EN VENTA EN CONDOMINIO 71
TOTALMENTE AMUEBLADO LISTO PARA VIVIR O PONER EN AIRBNB
$270,000.00 NEGOCIABLE
3 HABITACIONES
* HABITACION PRINCIPAL CON BAÑO Y CLOSET
* ...","
$270,000 ","
,
86 m,
,
3,
,
2,
,
3"
Antiguo Cuscatlán," Casa en venta en Madre Selva, Santa Elena con hermosa vista","Dimensiones de la propiedad.
Área de construcción: 553.72 m2
Área de terreno: 700 v2
Características de la propiedad.
Sala, comedor, cocina
3 Habitaciones con 3 baños ...","
$790,000 ","
,
554 m,
,
3,
,
3,
,
3"
Nuevo Cuscatlán, Venta de casa en Nuevo Cuscatlán,"Dimensiones de la propiedad.
Área de construcción: 342.81 m2
Área de terreno: 530 v2
Características de la propiedad.
Nivel 1.
Cochera abierta techada para 2 vehiculos. ...","
$470,000 ","
,
343 m,
,
3,
,
2,
,
3"
Ahuachapán," CASA DE CAMPO EN VENTA, APANECA","Hermosa casa de campo, ubicada en Residencial privada en Apaneca, Ahuachapan.","
$149,000 ","
,
225 m,
,
3,
,
2,
,
2"
Zaragoza, VENTA DE CASA DE UN NIVEL EN VIA DEL MAR EN PRIVADO,"Area de terreno: 1,000v2
Area de construcción: 312m2
Detalles de la propiedad:
3 dormitorios cada uno con su baño
Estudio con baño completo
Amplio jardín con acceso desde: ...","
$498,000 ","
,
312 m,
,
3,
,
5,
,
3"
Santa Tecla, Casa en venta en Santa Tecla residencial privada,"Casa en venta en residencial Bosques de Santa Teresa muy linda construida por Lopez Hurtado 3 habitaciones 3 baños completos más estudio con medio baño.
Habitación principal está ...","
$485,000 ","
,
435 m,
,
3,
,
3,
,
3"
Santa Tecla," Casa en venta en Santa tecla, Jardines de la Sabana","Casa de 2 niveles
Jardines de la Sabana pasaje 11, Santa Tecla, La Libertad sur
Buena ubicación, cerca a colegios, universidades, centro comerciales, parques y más.
Extensión de ...","
$177,000 ","
,
18603 m,
,
5,
,
2,
,
2"
San Salvador," Se vende apartamento en Colonia Escalón, en primer nivel","Se vende apartamento en Colonia Escalón, en primer nivel
• Arriba del Redondel Masferrer
• 94.23 metros cuadrados
• Habitación principal con a/c, closet y baño
• 2 ...","
$245,000 ","
,
92 m,
,
3,
,
2,
,
2"
San Salvador, VENDO EN ESCALON!! CASA AMPLIA DE 2 NIVELES CERCANIAS DE EDIFICIO GAMALIEL(TABER),"Casa de 2 niveles con buena ubicación y amplia, con muros perimetrales inmediata a todo
Cuenta con 386.80 metros cuadrados
Parqueo para 2 vehículos adentro mas 3 afuera
Vestíbulo o ...","
$375,000 ","
,
300 m,
,
4,
,
2,
,
5"
San Salvador, Vendo hermosa quinta en Colonia Escalon con vista,"Vendo hermosa quinta con casa en Colonia Escalon y vistas espectaculares.
vendo quinta de 3,900 varas cuadradas en colonia Escalon con espectaculares vistas a la ciudad, en una zona ...","
$685,000 ","
,
400 m,
,
3,
,
Más,
,
6"
San Salvador, VENDO APARTAMENTO EN SAN BENITO,"Apartamento consta de:
2 habitaciones, principal con baño
Baño social
Área de servicio
Sala, comedor, cocina
2 parqueos","
$170,000 ","
,
79 m,
,
2,
,
2,
,
2"
Zaragoza, Venta de Casa en El Encanto Golf & Villas,Venta de Casa en El Encanto Golf & Villas. Codigo CA-276. Ubicada en complejo privado El Encanto Golf & Villas que cuenta con las amenidades mas completas de pais. La casa tiene una ...,"
$650,000 ","
,
310 m,
,
3,
,
4,
,
3"
San Miguel, Venta de Casa en San Miguel,"Venta de Casa en San Miguel. Código CA-230. La casa cuenta con una Arquitectura de UN NIVEL situada en Complejo Privado, estrategicamente ubicada y a estrenar.
Características:
- ...","
$90,400 ","
,
70 m,
,
3,
,
2,
,
2"
Colón, SE VENDE CASA VALLE DE LOURDES NEGOCIABLE,"SE VENDE CASA VALLE DE LOURDES
Bonita casa de residencial
Con construcción extra
Cocina amplia
Sala
Tendedero
Dos habitaciones
Vigilancia 24/7
Carnet de ingreso
Canchas y parques ...","
$57,000 ","
,
75 m,
,
2,
,
1"
San Salvador, Apartamento en Planes de Renderos,"**¡Gran Oportunidad de Inversión!**
Apartamento en **San Juan**, Camino a Planes de Renderos.
**Primer nivel**, semi amueblado:
- Cocina
- Refrigeradora
- Bomba de agua
- 2 ...","
$195,000 ","
,
83 m,
,
2,
,
2,
,
2"
San Miguel, Venta de casa,Venta de casa Miraflores,"
$98,000 ","
,
229 m,
,
3,
,
3,
,
1"
San Martín, Vendo casa amplia y céntrica a remodelar en San Martín San Salvador,"Casa amplia, se vende al contado. Posee espacio para futura ampliación. A remodelar. A una cuadra del parque San Martín.","
$65,000 ","
,
1200 m,
,
3,
,
3,
,
1"
Cuscatancingo, Se vende casa en Villa- Real Cuscatancingo,"trato directo no fondo social ni bancos al contado, todas las paredes son de carga bloque de 15 con baston de media pulgada, tiene altura de metros 3.50 y 3.20 altura minima, toda la ...","
$47,000 ","
,
5253 m,
,
3,
,
Más,
,
1"
Santa Ana, Deseas vender o comprar una propiedad en El Salvador,Deseas invertir en El Salvador... somos tu mejor opción... puedes contactarnos y te ayudaremos a que consigas la propiedad que deseas acorde a tu presupuesto.,"
",
Santa Ana, Deseas vender o comprar una propiedad en El Salvador,Deseas invertir en El Salvador... somos tu mejor opción... puedes contactarnos y te ayudaremos a que consigas la propiedad que deseas acorde a tu presupuesto.,"
",
Santa Ana, Se vende casa,se vende casa inf al wasapt en ciudad real,"
$40,000 ","
,
97 m,
,
2,
,
1,
,
1"
San Salvador," PLANES DE RENDEROS $425,000 DE ESQUINA Y PRIVADO","AMPLIA CASA ESTILO COLONIAL
DE ESQUINA EN PRIVADO
Casa en venta Planes de Renderos
Privado Precio $425,000
Casa de 2 Niveles de esquina con Diseño Colonial
350 M2 / ...","
$425,000 ","
,
350 m,
,
7,
,
6,
,
5"
Usulután, Residencial Quintas de Santa Maria - Venta de casas en planos.,"Ubicados en Usulután, cerca del vibrante polo de desarrollo de la zona oriental de El Salvador. Estas casas en planos ofrecen un estilo de vida conveniente y moderno, cercano a la ...","
$120,326 ","
,
88 m,
,
3,
,
2,
,
2"
San Salvador, Vistas 75 - Venta de apartamentos en planos.,"Ubicados estratégicamente en la final de 75 Av. Norte, estos apartamentos en planos ofrecen un estilo de vida conveniente y moderno, cercano a supermercados, gasolineras, farmacias y ...","
$226,920 ","
,
84 m,
,
3,
,
2,
,
3"
Santa Tecla, Utila Gardes - Venta de apartamentos en planos.,"Ubicados un área con un clima único que se conjuga con la tranquilidad de bellos paisajes verdes en la Colonia Utila, Santa Tecla, estos apartamentos en planos ofrecen un estilo de ...","
$204,900 ","
,
86 m,
,
2,
,
2,
,
2"
Nejapa, RESIDENCIAL METROPOLIS SAN GABRIEL NORTE CLUSTER 4 CASA DE ESQUINA,"CASA EN RESIDENCIAL METROPOLIS SAN GABRIEL SEMI AMUEBLADA POSEE 243 MTRS 2 GOZA DE SEGURIDAD LAS 24 HORAS DENTRO LA RESIDENCIA TIENE ACCESO DE PARQUES GLORIETAS,PISCINAS, CANCHAS AREA ...","
$170,000 ","
,
243 m,
,
2,
,
2,
,
2"
Santa Ana," Casa en venta en Santa Ana, cerca de la universidad UNICAES","Se vende casa amplia cerca de metrocentro Santa Ana.
Excelente ubicación ya sea para negocio o vivienda.
La propiedad está distribuida de la siguiente manera :
5 ...","
$190,000 ","
,
134 m,
,
5,
,
2,
,
2"
Santa Ana, Casa en venta en Santa Ana,"Amplia propiedad en venta en Santa Ana
Consta de
10 habitaciones
Piscina
Parqueo amplio
Mide 594.08 mtrs2 y 822.87 varas
Excelente ubicación, cerca del ex san Jose.
Super ...","
$250,000 ","
,
594 m,
,
10,
,
4,
,
5"
Tonacatepeque, Casa grande-con local para negocio o tienda-con terreno grande en Comuidad Xochilt,"Vendo casa grande disponible para habitar en Comunidad Xochilt, vecina a residencial Libertad y Distrito Italia en Tonacatepeque, sin intermediarios.
3- habitaciones.
1-Cocina ...","
$20,000 ","
,
200 m,
,
3,
,
4,
,
1"
San Miguel, VENDO CASA EN SAN MIGUEL COLONIA SAN PABLO,"PRECIO DE VENTA: $215,000.00 Poco NegociableLibre de gravamen ","
$215,000 ","
,
304 m,
,
5,
,
3,
,
3"
San Salvador, Apartamento en Venta Escalón,"En 5to nivel
Vista espectacular a la ciudad
Moderno
Buen mantenimiento
Ventilado e iluminado
Área apartamento: 108.93Mts2
+ 2 parqueos de 12.50Mts2 cada uno, haciendo los dos ...","
$265,000 ","
,
109 m,
,
3,
,
2,
,
3"
San Salvador, Lomas de San Francisco- Residencial El Mirado-San Salvador,"Residencia remodelada y moderna de 2 pisos, con excelente ubicación en Lomas de San Francico, distribuía de la siguiente manera.
Primer Nivel:
Cochera amplia para 2 carros, con ...","
$340,000 ","
,
131 m,
,
4,
,
1,
,
3"
Santa Tecla, Vendo casa en Veranda,"Vendo casa en Residencial Veranda
Precio - $279,000
Ideal para familia
Cochera techada para dos vehiculos
Dos plantas
Sala y comedor independientes
Cocina con pantry y barra ...","
$279,000 ","
,
140 m,
,
3,
,
2,
,
2"
La Libertad, VENDO PRECIOSO RANCHO FRENTE AL MAR EN BARRA SALADA,"VENDO PRECIOSO RANCHO FRENTE AL MAR EN BARRA SALADA 12 MTS DE FRENTE 90 MTS DE LARGO 1,080 MTS² DE TERRENO 1,543 V² DE TERRENO LA CASA ES DE DOS NIVELES PRIMER NIVEL -HABITACION CON ...","
$275,000 ","
,
1080 m,
,
3,
,
10,
,
3"
Nuevo Cuscatlán, Venta de Penthouse Santa Elena,"Se Vende Penthouse Santa Elena
162 mt2
2 estacionamientos
Amenidades
Yoga Room
Piscina
Social Launge
Cowork meeting Room
Concierge
Gym
Previo de venta
$390,000","
$390,000 ","
,
162 m,
,
3,
,
2,
,
4"
Santa Tecla, Amplia casa en residencial la montaña 2,"Descubre tu nuevo Hogar en La Montaña II:
Un impresionante terreno de 2,033.95 metros cuadrados alberga esta exclusiva residencia, con una construcción de 660 metros cuadrados. ...","
$850,000 ","
,
660 m,
,
5,
,
8,
,
7"
Antiguo Cuscatlán," EN VENTA APARTAMENTO EN TORRE KAIROS, LOMAS DE SAN FRANCISCO","En venta agradable y amplio apartamento de 120m², con terraza y vista, ubicado en 3er nivel de Torre Kairos en Antiguo Cuscatlán.
Tiene sala-comedor y cocina abierta, baño social, ...","
$250,000 ","
,
120 m,
,
3,
,
2,
,
2"
San Salvador, Venta de apartamento en Lomas de San Francisco San Salvador,"Venta de apartamento en Lomas de San Francisco San Salvador
Apartamento en venta completamente amueblado, funcionando actualmente como Airbnb
Características:
- 92 Mts2 de ...","
$255,000 ","
,
92 m,
,
3,
,
2,
,
2"
Antiguo Cuscatlán, Amplia casa en venta Antiguo Cuscatlán,"Amplia casa en venta
Antiguo Cuscatlan
Residencial Arcos de Santa Elena
Area de construcción de 240 m2 y terreno de 446.4 v2.
Primer Nivel:
Parqueo para 2 vehiculos Techado y con ...","
$420,000 ","
,
240 m,
,
3,
,
2,
,
3"
Santa Tecla, AGRADABLE CASA EN VENTA EN RESIDENCIAL UTILA (EN PRIVADO),"345V² de terreno y 301m² de construcción
Preciosa casa de esquina en residencial privado en Utila, Santa Tecla
En Primer Nivel tiene: vestíbulo, sala, comedor, cocina recién ...","
$450,000 ","
,
301 m,
,
4,
,
2,
,
4"
San Salvador, Venta de apartamento nuevo en Colonia San Francisco San Salvador,"Venta de apartamento nuevo en Colonia San Francisco San Salvador
Venta de apartamento nuevo de dos habitaciones, ubicado en Colonia San Francisco, excelente ubicación y accesibilidad ...","
$225,000 ","
,
74 m,
,
2,
,
2,
,
2"
San Salvador," Venta de casa en Residencial privada, Km 15 Ctra. a Comalapa.","Venta de casa de dos niveles, con excelentes acabados dentro de Residencial privada.
Condominio El Ciprés, Carretera a Comalapa.
Const.105m²
178v²
Primera ...","
$199,000 ","
,
105 m,
,
3,
,
2,
,
2"
Apopa, VENTA CASA EN APOPA - CON PRECIO REDUCIDO,"Se Vende Casa en Zona Urbana de Apopa
NUEVO PRECIO $220 MIL
Se encuentra en una zona habitacional de la ciudad de Apopa acceso inmediato a
áreas comerciales y habitacionales. ...","
$220,000 ","
,
448 m,
,
3,
,
3,
,
4"
Cabañas, Casa en Ilobasco,"Se vende casa en la entrada de la colonia Alcaine Ilobasco, cerca del estadio municipal Mauricio Vides. Zona residencial muy tranquila, rodeada de hermosas construcciones y buenos ...","
$110,000 ","
,
162 m,
,
2,
,
1,
,
1"
San Salvador, Casa AMPLIA en venta en Colonia Centroamérica,"Amplia casa en venta en Colonia Centroamérica, muy cercana al Shopping Center del Bulevar de los Heroes. Esta casa cuenta con un terreno de 340.07 varas cuadradas y 332 metros ...","
$300,000 ","
,
332 m,
,
4,
,
4"
San Salvador, Vendo casa o derecho en pinares de suiza,"**Se vende casa en Pinares de Suiza, Santa Tecla**
**Nivel 1:**
- Cochera techada para dos vehículos
- Sala
- Comedor
- Cocina
- Cisterna
- Patio
- Área de servicio
**Nivel ...","
$185,000 ","
,
250 m,
,
3,
,
4,
,
4"
Nuevo Cuscatlán," Casa en venta en Residencial La Florida, Nuevo Cuscatlán. #2345","Agenda visita, oferta y venta en Propi.
Precio de venta: $545,000.00
Ubicado en Nuevo Cuscatlán, La Libertad.
ID #2345
Casa en venta en Residencial La Florida, Nuevo Cuscatlán, 998 ...","
$545,000 ","
,
312 m,
,
5,
,
2,
,
5"
San Salvador, Apartamento en Condominio Sole Blú. Col San Francisco,"Apartamento primer nivel de 168 mts2 con jardín
Condominio con seguridad 24/7
Acceso a 2 estacionamientos, uno de ellos baje techo en sótano
Mini bodega ubicada en sótano
Sala ...","
$325,000 ","
,
168 m,
,
3,
,
2,
,
2"
Usulután," Vendo propiedad en Colonia Río Rosa, Usulután a 250 mts de Turicentro El Molino","Vendo propiedad Colonia Río Rosa, a unos 250 metros del Turicentro El Molino.
146 mt2.
División de 2 cuartos con paneles.
Sala pequeña.
Área de cocina.
Área para lavadero y ...","
$32,000 ","
,
75 m,
,
2,
,
1"
San Salvador," Apartamento en venta en Sole Blu, Colonia San Francisco. #2353","Agenda visita, oferta y venta en Propi.
Precio de venta: $370,000.00
Ubicado en Colonia San Francisco, San Salvador
ID #2353
Se Vende Apartamento en Sole Blu, Habitación principal ...","
$370,000 ","
,
157 m,
,
4,
,
2,
,
3"
Nuevo Cuscatlán," Apartamento en venta en Torre Artea, Nuevo Cuscatlán. #2281","Agenda visita, oferta y venta en Propi.
Precio de venta: $300,000.00
Ubicado en Nuevo Cuscatlán, La Libertad
ID #2281
Encantador Apartamento Nuevo con vista a la cordillera en Torre ...","
$300,000 ","
,
119 m,
,
3,
,
2,
,
2"
San Salvador, ULTIMOS APARTAMENTOS CON JARDIN INTERIOR TORRE MAYA,"Ubicado A 2 cuadras de Torre Futura excelente ubicación para inversión
Precios desde$283,000.00
Cuotas desde $1,882.23
Ingresos familiares min: $4,705.58
EL CONDOMINIO CONSTA DE ...","
$283,000 ","
,
106 m,
,
3,
,
2,
,
2"
San Salvador, ULTIMOS APARTAMENTOS EN ALTURAS 900 SANTA TECLA,"TU MEJOR INVERSION
El Condominio consta de 11 niveles así:
8 niveles de apartamentos y 2 niveles de estacionamientos
Son 72 apartamentos
ubicados un una de las zonas más bonitas de ...","
$218,295 ","
,
78 m,
,
2,
,
2,
,
2"
San Salvador, NUEVO PROYECTO DE APARTAMENTOS CONDOMINIO ALTIVO ESTAMOS EN PLANOS,"CONDOMINIO ALTIVO
12 niveles de apartamentos Con 120 apartamentos de arquitectura moderna,
en el bulevar Luis Poma.
excelente vista al volcán de San Salvador, al cerro San Jacinto ...","
$236,231 ","
,
76 m,
,
3,
,
2,
,
2"
San Salvador, CONDOMINIO 71 APARTAMENTO TOTALMENTE AMUEBLADO,"APARTAMENTO EN VENTA EN CONDOMINIO 71
TOTALMENTE AMUEBLADO LISTO PARA VIVIR O PONER EN AIRBNB
$290,000.00 NEGOCIABLE
3 HABITACIONES
* HABITACION PRINCIPAL CON BAÑO Y CLOSET
* ...","
$290,000 ","
,
86 m,
,
3,
,
2,
,
3"
San Salvador, Excelente Apartamento en Condominio The Flats para inversión o Airbnb,"1 Habitación
1 Estacionamiento en propiedad
1 Bodega de 3.12 M2
Terraza
Precio $177,860.00
Prima a cancelar: $17,786.00
Financiamiento: $160,074.00
Cuota Aprox.: $1,131.72 ...","
$177,860 ","
,
89 m,
,
1,
,
1,
,
1"
La Libertad, VENDO PRECIOSO APARTAMENTO EN TORRE ARTEA NUEVO CUSCATLÁN,"VENDO PRECIOSO APARTAMENTO EN TORRE ARTEA NUEVO CUSCATLÁN
124 METROS CUADRADOS DE APARTAMENTO
177 VARAS CUADRADAS DE APARTAMENTO
CUENTA CON
-3 HABITACIONES
-2 BAÑOS
-1 BAÑO ...","
$330,000 ","
,
124 m,
,
3,
,
2,
,
2"
San Salvador, VENDO CASA EN RESIDENCIAL CERCA DE WALMART CONSTITUCIÓN,"CONSTA DE DOS NIVELES:
Primera planta:
cochera con portón para dos vehículos
Baño social
Cocina eléctrica con extractor de humo
Cocina de granito y pared efecto mármol
patio ...","
$250,000 ","
,
3,
,
3,
,
2"
San Salvador," Venta de Casa en Residencial privada, Boulevard Constitución.","Espaciosa casa en venta con excelente ubicación y en privado. Accesible a Colegios, Súper, Restaurantes, Gasolineras, Hospitales, Bancos, Centro Comerciales, y más.
Boulevard ...","
$180,000 ","
,
120 m,
,
3,
,
2,
,
2"
San Salvador," Las Puertas, San Salvador, apartamento en venta.","-Área de construcción 72.56 metros cuadrados.
-Dos estacionamientos asignados.
-Sala.
-Comedor.
-Cocina con top de granito.
-Terraza.
-Área de máquinas.
-Habitación principal con ...","
$200,000 ","
,
72 m,
,
2,
,
2,
,
2"
Colón, Venta de Casa Las Arboledas Lourdes Colon,"Venta de Casa Las Arboledas Lourdes Colon
Consta de
3 habitaciones
Sala
Comedor
Cocina
2 baños
Area de lavado
Terraza
Jardin
Cisterna
Parqueo dos vehiculos
Precio de Venta
$123,000","
$123,000 ","
,
120 m,
,
3,
,
2,
,
2"
San Salvador," Casa en venta en Residencial Altamira, Colonia Altamira. #2531","Encuentra en Propi +500 casas y apartamentos en alquiler y venta.
Casa en venta en Residencial Altamira, Colonia Altamira.
Precio: $1,500,000.00. - No amueblado.
Habitaciones: ...","
$1,500,000 ","
,
853 m,
,
4,
,
4,
,
5"
San Salvador," Venta de Casa Cima III, Privado, San Salvador","Venta de Casa Cima II, Privado San Salvador
Dos Niveles
5 Habitaciones
5 baños
Sala
Comedor
Cocina
Terraza
Area de servicio completa
Jardin
Cisterna
Cochera techada dos ...","
$200,000 ","
,
200 m,
,
5,
,
2,
,
5"
San Salvador, CASA EN VENTA EN COL. COSTA RICA ,"Casa amplia, ideal para remodelar, ubicada en Col. Costa Rica.
-Sala
-Comedor
-Cocina
-Sala de estar
-Patio interno
-Tres dormitorios con closet
-2 baños con ducha
-Área de ...","
$150,000 ","
,
209 m,
,
3,
,
1,
,
2"
San Salvador, ¡ VENTA- Casa de campo en Panchimalco perfecta para eventos especiales!,"¡Bienvenidos a un paraíso para eventos o vacacionar en Panchimalco!
Descubre una casa grande y acogedora con amplios ventanales rodeados de jardines y contacto con la naturaleza, ...","
$465,000 ","
,
3,
,
Más,
,
3"
Chalatenango, Venta de casita de campo,"Se vende bonita casa de campo, 3 cuartos un principal con baño, aire acondicionado, cocina, corredor, área donde seguir construyendo","
$45,000 ","
,
20 m,
,
3,
,
1,
,
2"
San Salvador," VENDO APARTAMENTO AMUEBLADO DE 1 HABITACION EN COLONIA ESCALON, GENERANDO INGRESOS EN AIRBNB","VENDO APARTAMENTO EN EL PRIMER NIVEL, FULL AMUEBLADO, MODERNO, ACOGEDOR Y SUPER UBICADO EN COLONIA ESCALON, GENERANDO EXELENTES INGRESOS MENSUALES (COMPROBABLES) EN LA PLATAFORMA DE ...","
$172,000 ","
,
60 m,
,
1,
,
2,
,
2"
San Salvador, Venta de casa en Altos de La Cima San Salvador,"Venta de casa en Altos de La Cima San Salvador
Casa en venta en San Salvador, ubicada en residencial Altos de La Cima, construida con estilo Colonial.
Medidas:
- 1,492 Vrs2 de ...","
$1,250,000 ","
,
600 m,
,
4,
,
6,
,
4"
Santa Ana, Venta de casa en Ecoterra Maquilishuat,Venta de casa en Ecoterra Maquilishuat a precio Negociable por favor contactar al,"
$45,000 ","
,
35 m,
,
2,
,
2,
,
1"
San Miguel," S/V casa en Residencial Barcelona, San Miguel","Se vende casa en Residencial Barcelona, San Miguel
Residencial privada
Cerca de Metrocentro, San Miguel
Casa de esquina, mide 17 x 15 mtrs
Posee:
Sala
Comedor
Cocina (incluye ...","
$135,000 ","
,
255 m,
,
4,
,
2,
,
4"
La Paz, CASA AMPLIA EN VENTA | UBICADA EN SAN PEDRO MASAHUAT LA PAZ,"Se vende casa grande de 2 plantas | Ubicada en San Pedro Masahuat.
Dirección:
Barrio Concepción, calle la Joya, casa No. 2, frente escuela de educación parvularia ""Cleotilde Huezo ...","
$88,000 ","
,
215 m,
,
1,
,
3,
,
2"
Coatepeque, QUINTA DE LUJO EN LAGO COATEPEQUE (Zona Exclusiva),"Ubicada en una zona donde se encuentran las casa mas “Exclusivas del Lago”, lejos de la zona de restaurantes y hoteles
La casa ha sido construida con un diseño Taiwanés en sus ...","
$1,100,000 ","
,
700 m,
,
4,
,
4,
,
5"
San Salvador," SE VENDE CABAÑA EN LOS NARANJOS A 1,800 msnm (metros sobre el nivel del mar)","La cabaña esta ubicada en el Bosque Nebuloso “La Montaña”, es el primer parque ecológico privado, a 1,800 msnm (metros sobre el nivel del mar) a solo 25 minutos de Sonsonate ...","
$270,000 ","
,
200 m,
,
3,
,
3,
,
1"
San Juan Opico, Casa en Arboledas,"Casa en residencial Arboledas , con Piscina
3 habitaciones con aire acondicionado y vestibulo
Area de servicio","
$165.00 ","
,
155 m,
,
3,
,
2,
,
3"
Zaragoza," Miramar, casa de un nivel en venta.","-Área del terreno 470 varas cuadradas.
-Estacionamiento para tres vehículos.
-Vestíbulo.
-Baño social.
-Sala.
-Comedor.
-Cocina.
-Terraza.
-Amplio jardín.
-Área de servicio ...","
$265,000 ","
,
230 m,
,
3,
,
3,
,
3"
San Salvador," VENDO CASA EN RESIDENCIAL VILLA GALICIA, ILOPANGO, SAN SALVADOR. CONTIGUO A UNICENTRO ALTAVISTA","VENDO CASA EN RESIDENCIAL VILLA GALICIA, ILOPANGO, SAN SALVADOR. CONTIGUO A UNICENTRO ALTAVISTA.
PRIMER NIVEL: PARQUEO PARA 1 VEHICULO, PEQUEÑO JARDIN FRENTE A LA CASA, BAÑO SOCIAL, ...","
$120,000 ","
,
133 m,
,
3,
,
1,
,
2"
Santa Tecla, Hermosa casa en Venta en Residencial Utila en colonia privada con doble portón de acceso,"Hermosa casa de esquina en residencial privado con doble portón de acceso, en Colonia Utila, Santa Tecla, distribuida de la siguiente manera:
Primer Nivel:
Área Social: Vestíbulo, ...","
$450,000 ","
,
300 m,
,
4,
,
2,
,
4"
Zaragoza," Vendo Linda Casa de dos niveles con REFORMAS, en Miramar","Linda casa en Venta en la segunda etapa de Residencial Miramar, de dos niveles, con reformas, distribuida de la siguiente manera:
Primer Nivel:
Área Social: Vestíbulo, Sala, ...","
$275,500 ","
,
200 m,
,
3,
,
2,
,
2"
Colón, Venta de Casa Brisas de Lourdes.,"Casa Brisas de Lourdes
Un Nivel
203 mt2
3 Habitaciones principal con baño
2 Habitaciones jr. con baño compartido
Sala
Comedor
Cocina
Area de lavado
Terraza
Jardin
Cisterna
Parqueo ...","
$123,000 ","
,
206 m,
,
3,
,
2,
,
2"
Nejapa," Venta de Casa Metropolis San Gabriel, Norte","Venta de Casa Metropolias San Gabriel Norte
Dos Niveles
Con detalles a Reparar
Activo de Banco
Casa de Esquina
450V2
200mt2
3 habitaciones
Sala
Comedor
Cocina
4 baños
Area de ...","
$116,500 ","
,
200 m,
,
3,
,
2,
,
4"
Santa Ana," VENTA DE CASA NUEVA, SANTA ANA","Casa nueva, doble planta, ubicada en Residencial Sinaí, Segunda Etapa, Santa Ana; cercana a Walmart, Pricemart y Metrocentro. Cuenta con vigilancia permanente. Precio Negociable.","
$340,000 ","
,
180 m,
,
4,
,
2,
,
3"
San Salvador, VENDO CASA COLONIA ESCALÓN 2NIVELES DE ESQUINA X HOLA BETOS S/85AV. NORTE,"OFREZCO VENTA CASA ESQUINA COLONIA ESCALÓN X HOLA BETOS S/85AV. NORTE 2NIVELES*
1. PRECIO *$750MIL NEG.*
2. MEDIDAS 715.23V² 528.10M²
3. FRENT20.75MTS.
4. FONDO 24.20MTS
5. Cochera ...","
$750,000 ","
,
528 m,
,
8,
,
3,
,
5"
Santa Tecla, VENTA DE CASA EN CIUDAD REAL/ SANTA ANA," ¡Excelente oportunidad de inversión en Santa Ana!
Venta de casa en Ciudad Real, Santa Ana:
- 201 metros cuadrados (290 varas de terreno)
- Cochera techada para 3 vehículos
- ...","
$90,000 ","
,
201 m,
,
3,
,
3,
,
1"
Santa Ana, Se vende casa,casa en ciudad real,"
$45,000 ","
,
93 m,
,
2,
,
1,
,
1"
San Salvador, Casa en Venta Colonia Flor Blanca,"Medidas:
Norte: 18 m
Sur: 18 m
Oriente (frente): 10.10 m
Poniente: 10.10 m
Cerca de: Centros educativos, Instituciones gubernamentales,Hospitales y clínicas, ...","
$285,000 ","
,
282 m,
,
4,
,
2,
,
4"
Antiguo Cuscatlán, Venta de Casa en Cumbres de Cuscatlán,"Venta de Casa en Cumbres de Cuscatlán, Código CA-217. La casa tiene una arquitectura de dos niveles, Cielos falsos de Madera / duela machimbreada, Pisos de Cerámica, Linda ...","
$749,000 ","
,
581 m,
,
3,
,
10,
,
4"
Santa Tecla, Alquiler de Residencia Exclusiva en la Montaña Santa Tecla!," ¡Alquiler de Residencia Exclusiva en la Montaña Santa Tecla!
Disfruta de vivir en la zona fresca y segura de Santa Tecla, ideal para Extranjeros, Diplomáticos, Empresarios y Altos ...","
$1,400,000 ","
,
800 m,
,
4,
,
8,
,
4"
Santa Tecla, CASA EN VENTA SOBRE AV. CHIULTIPAN,"CASA EN VENTA SOBRE AV. CHIULTIPAN
1086 v2/ 758 mt2
593 mt2
*Primera Planta*
-Portón eléctrico
-Parqueo para 4 vehículos
-Recibidor
-Sala y comedor amplios
-Terraza
-Jardín grande ...","
$510,000 ","
,
593 m,
,
4,
,
4,
,
4"
Zaragoza, VENDO 3 LOCALES EN URBANISACION BRISAS DE ZARAGOZA,"VENDO 3 LOCALES EN URBANIZACION BRISAS DE ZARAGOZA
ESTAN EN CALLE PRINCIPAL
CADA LOCAL ESTA ENCIELADO CON PISO CERAMIICA
LA PROPIEDAD ESTA LISTA PARA FUTURAS CONSTRUCCIONES CUENTA CON ...","
$65,000 ","
,
100 m,
,
3"
